time,stateRun,private,price,windSpeed,sunshineHour,temperature,special
2021-11-02-15,80,14,595,3.4,1,27.5,0
2021-11-02-16,80,14,595,3.4,0.5,25.7,0
2021-11-02-17,80,14,595,3.7,0,24.1,0
2021-11-02-18,80,14,595,3.5,0,23.8,0
2021-11-02-19,80,14,595,2.7,0,23.6,0
2021-11-02-20,80,14,550,1.7,0,23,0
2021-11-02-21,80,14,550,1,0,22.9,0
2021-11-02-22,80,14,550,1.2,0,22.4,0
2021-11-02-23,80,14,600,0.6,0,21.7,0
2021-11-03-00,105,14,600,1.3,0,21.3,0
2021-11-03-01,193.1,14,600,1.9,0,21.4,0
2021-11-03-02,281.1,14,600,0.3,0,21.6,0
2021-11-03-03,281,14,600,0,0,21.7,0
2021-11-03-04,281,14,600,1.5,0,21.8,0
2021-11-03-05,193,14,600,0.3,0,22,0
2021-11-03-06,193,14,600,0.3,0,22.6,0
2021-11-03-07,80,14,550,0.4,1,24.6,0
2021-11-03-08,119.3,14,595,1.3,1,25.4,0
2021-11-03-09,126.1,14,595,2.2,1,25.3,0
2021-11-03-10,118.4,14,595,1.9,1,27.4,0
2021-11-03-11,132.9,14,595,2.2,1,27.7,0
2021-11-03-12,80,14,595,2.4,1,28.5,0
2021-11-03-13,80,14,595,3.5,1,28.4,0
2021-11-03-14,80,14,600,2.4,1,28,0
2021-11-03-15,80,14,600,2.3,1,27.6,0
2021-11-03-16,80,14,600,2.9,0.5,26,0
2021-11-03-17,80,14,600,2.3,0,24.8,0
2021-11-03-18,80,14,600,0.8,0,24.4,0
2021-11-03-19,80,14,600,1.2,0,24,0
2021-11-03-20,80,14,600,0,0,23.5,0
2021-11-03-21,80,14,595,0,0,23.2,0
2021-11-03-22,80,14,595,0.3,0,22.7,0
2021-11-03-23,80,14,600,0.9,0,22.8,0
2021-11-04-00,155.3,14,550,0,0,22.6,0
2021-11-04-01,105,14,550,0.7,0,22.3,0
2021-11-04-02,105,14,550,0,0,22.6,0
2021-11-04-03,105,14,550,0,0,22.1,0
2021-11-04-04,105,14,550,0,0,21.7,0
2021-11-04-05,105,14,550,0.5,0,21.5,0
2021-11-04-06,105,14,600,0.8,0.1,22.1,0
2021-11-04-07,80,14,595,0.8,0.7,24,0
2021-11-04-08,80,14,600,0.6,1,27.5,0
2021-11-04-09,80,14,595,1.3,1,28.5,0
2021-11-04-10,80,14,600,1.2,1,29.3,0
2021-11-04-11,80,14,595,1.4,1,30.3,0
2021-11-04-12,80,14,595,2.4,1,29.8,0
2021-11-04-13,107.3,14,595,2.7,1,30.2,0
2021-11-04-14,80,14,600,2.8,1,28.4,0
2021-11-04-15,80,14,595,2.7,1,26.8,0
2021-11-04-16,80,14,595,2.1,0.5,25.6,0
2021-11-04-17,80,14,595,1.8,0,25,0
2021-11-04-18,80,14,595,0.6,0,24.7,0
2021-11-04-19,80,14,595,0.3,0,24.2,0
2021-11-04-20,80,14,595,0.6,0,23.9,0
2021-11-04-21,80,14,595,0,0,23.4,0
2021-11-04-22,80,14,595,0,0,23.1,0
2021-11-04-23,80,14,600,0.6,0,22.4,0
2021-11-05-00,80,14,600,0.4,0,22.2,0
2021-11-05-01,105,14,550,0.3,0,22,0
2021-11-05-02,105,14,550,0.3,0,21.7,0
2021-11-05-03,105,14,550,0.4,0,21.4,0
2021-11-05-04,105,14,550,0.3,0,21.1,0
2021-11-05-05,105,14,550,0.3,0,21.2,0
2021-11-05-06,105,14,550,0,0,21.9,0
2021-11-05-07,81,14,595,0.7,1,23.5,0
2021-11-05-08,92.6,14,600,0,1,27.2,0
2021-11-05-09,80,14,595,1.2,1,28.6,0
2021-11-05-10,80,14,595,1.3,1,30.1,0
2021-11-05-11,80,14,595,2.2,1,30.7,0
2021-11-05-12,80,14,595,1.2,1,31,0
2021-11-05-13,80,14,595,2.9,1,29.9,0
2021-11-05-14,80,14,595,3.3,1,29,0
2021-11-05-15,80,14,595,2.9,1,28.3,0
2021-11-05-16,80,14,595,1.9,0.4,27,0
2021-11-05-17,80,14,595,1,0,26,0
2021-11-05-18,80,14,595,0,0,25.8,0
2021-11-05-19,80,14,595,0,0,25.6,0
2021-11-05-20,80,14,595,0.5,0,25.1,0
2021-11-05-21,80,14,595,0,0,24.4,0
2021-11-05-22,80,14,600,0.3,0,24.1,0
2021-11-05-23,80,14,595,0.5,0,23.9,0
2021-11-06-00,80,14,600,0.4,0,24.5,0
2021-11-06-01,80,14,550,0.6,0,24,0
2021-11-06-02,193,14,600,0.3,0,23.4,0
2021-11-06-03,105,14,600,0.7,0,22.8,0
2021-11-06-04,80,14,600,0,0,22.4,0
2021-11-06-05,80,14,550,0,0,22.1,0
2021-11-06-06,80,14,550,1.2,0,23.1,0
2021-11-06-07,80,14,600,0.3,1,27.1,0
2021-11-06-08,80,14,595,0.5,1,29.5,0
2021-11-06-09,80,14,595,1.1,1,30.3,0
2021-11-06-10,80,14,600,1.8,1,31.1,0
2021-11-06-11,80,14,595,3.7,1,30.6,0
2021-11-06-12,80,14,600,4.4,1,29.4,0
2021-11-06-13,80,14,595,4.6,1,29.6,0
2021-11-06-14,80,14,595,5.2,1,28.5,0
2021-11-06-15,80,14,595,3.9,1,28.2,0
2021-11-06-16,80,14,595,1.9,0.5,27.1,0
2021-11-06-17,80,14,595,2.3,0,25.6,0
2021-11-06-18,80,14,595,2.9,0,24.8,0
2021-11-06-19,80,14,595,1.7,0,24.3,0
2021-11-06-20,80,14,595,2.8,0,23.9,0
2021-11-06-21,80,14,595,1.9,0,23.3,0
2021-11-06-22,80,14,595,0,0,22.8,0
2021-11-06-23,80,14,595,0.5,0,22.7,0
2021-11-07-00,99.6,14,500,1.2,0,22.2,0
2021-11-07-01,80,14,500,0.9,0,22.2,0
2021-11-07-02,80,14,500,1,0,21.7,0
2021-11-07-03,80,14,500,1.9,0,21.6,0
2021-11-07-04,80,14,600,1.3,0,21.5,0
2021-11-07-05,80,14,600,1.1,0,20.9,0
2021-11-07-06,80,14,600,0.8,0,21.5,0
2021-11-07-07,80,14,600,2,1,23.7,0
2021-11-07-08,80,14,600,2,1,25.9,0
2021-11-07-09,80,14,600,2,1,27.8,0
2021-11-07-10,80,14,595,1.9,1,29.6,0
2021-11-07-11,80,14,595,1.8,1,31,0
2021-11-07-12,80,14,595,3.7,1,30.6,0
2021-11-07-13,80,14,595,3.7,1,30,0
2021-11-07-14,80,14,595,4.2,1,28.8,0
2021-11-07-15,80,14,595,4.3,1,27.3,0
2021-11-07-16,80,14,595,3.7,0.4,25.6,0
2021-11-07-17,80,14,595,2.3,0,24.6,0
2021-11-07-18,80,14,595,0.5,0,23.9,0
2021-11-07-19,80,14,595,1.4,0,23.5,0
2021-11-07-20,80,14,595,0.7,0,24,0
2021-11-07-21,80,14,595,0.5,0,24.2,0
2021-11-07-22,80,14,595,0.7,0,23.9,0
2021-11-07-23,80,14,600,1,0,23.4,0
2021-11-08-00,80,14,550,0.4,0,23.3,0
2021-11-08-01,80,14,550,0,0,22.6,0
2021-11-08-02,105,14,550,0,0,22.8,0
2021-11-08-03,105,14,550,0.3,0,22.5,0
2021-11-08-04,80,14,550,2,0,22.8,0
2021-11-08-05,80,14,550,1.8,0,23.3,0
2021-11-08-06,80,14,550,1.3,0,23.4,0
2021-11-08-07,80,14,595,3.1,0.9,24.2,0
2021-11-08-08,80,14,595,5.4,1,25.4,0
2021-11-08-09,80,14,595,6.2,1,24.1,0
2021-11-08-10,80,14,595,4.9,1,26.2,0
2021-11-08-11,80,14,595,5.9,1,26.3,0
2021-11-08-12,105,14,600,6.3,1,25.3,0
2021-11-08-13,80,14,595,4.4,1,24.8,0
2021-11-08-14,80,14,595,5.9,1,23.2,0
2021-11-08-15,80,14,595,6.6,1,21.7,0
2021-11-08-16,80,14,595,4.6,0.4,20.1,0
2021-11-08-17,80,14,595,3.6,0,19.1,0
2021-11-08-18,80,14,595,5.3,0,18.1,0
2021-11-08-19,80,14,595,3.9,0,17.8,0
2021-11-08-20,80,14,595,3.9,0,17.7,0
2021-11-08-21,80,14,595,4.1,0,18.1,0
2021-11-08-22,80,14,595,2.8,0,18.7,0
2021-11-08-23,80,14,595,2.9,0,18.7,0
2021-11-09-00,80,14,550,2.5,0,18.5,0
2021-11-09-01,105,14,550,4.5,0,17.8,0
2021-11-09-02,105,14,550,4.3,0,17.6,0
2021-11-09-03,105,14,550,3.7,0,17.5,0
2021-11-09-04,105,14,550,4.3,0,17.4,0
2021-11-09-05,281,14,600,3.1,0,17.4,0
2021-11-09-06,281,14,600,3.5,0,16.9,0
2021-11-09-07,281,14,600,4.8,0,17.5,0
2021-11-09-08,80,14,595,3.6,0.9,18.3,0
2021-11-09-09,80,14,595,3.4,1,20.5,0
2021-11-09-10,80,14,595,3,1,21.9,0
2021-11-09-11,80,14,600,3.5,1,22.6,0
2021-11-09-12,80,14,595,2.5,1,24.3,0
2021-11-09-13,80.1,14,600,5.8,1,22.8,0
2021-11-09-14,80,14,595,5.4,1,22,0
2021-11-09-15,80,14,600,5.4,1,20.4,0
2021-11-09-16,80,14,595,4.8,0.5,19.3,0
2021-11-09-17,80,14,595,4.9,0,18.3,0
2021-11-09-18,80,14,595,2.9,0,18.1,0
2021-11-09-19,80,14,595,2.1,0,17.9,0
2021-11-09-20,80,14,600,1.5,0,17.4,0
2021-11-09-21,80,14,595,2.9,0,16.9,0
2021-11-09-22,80,14,600,1.5,0,16.7,0
2021-11-09-23,80,14,595,2.5,0,17,0
2021-11-10-00,80,14,550,2,0,17,0
2021-11-10-01,105,14,550,3.1,0,17.3,0
2021-11-10-02,289.3,14,600,1.8,0,16.7,0
2021-11-10-03,281,14,600,3.1,0,16.3,0
2021-11-10-04,281,14,600,1.7,0,16.7,0
2021-11-10-05,281,14,600,2,0,16.4,0
2021-11-10-06,281,14,600,1.9,0,16.4,0
2021-11-10-07,281,14,600,2.1,0.3,18,0
2021-11-10-08,81,14,595,3.8,1,19.6,0
2021-11-10-09,80,14,595,3.6,1,19.1,0
2021-11-10-10,80,14,595,2.9,1,20,0
2021-11-10-11,80,14,595,4.1,1,22.2,0
2021-11-10-12,103.5,14,595,5.2,1,22.9,0
2021-11-10-13,80,14,595,3.9,1,21.7,0
2021-11-10-14,80,14,600,3,1,21.8,0
2021-11-10-15,80,14,600,3.4,0.8,21.5,0
2021-11-10-16,80,14,600,2.5,0,20.6,0
2021-11-10-17,80,14,600,2.8,0,19.1,0
2021-11-10-18,80,14,600,2.6,0,17.4,0
2021-11-10-19,80,14,600,1.7,0,16.3,0
2021-11-10-20,80,14,600,1.6,0,15.8,0
2021-11-10-21,80,14,600,1.3,0,15,0
2021-11-10-22,80,14,600,1.6,0,14.3,0
2021-11-10-23,80,14,600,2.3,0,13.2,0
2021-11-11-00,82.9,14,550,0.8,0,13.2,0
2021-11-11-01,193.1,14,600,0.7,0,12.6,0
2021-11-11-02,193.1,14,600,1,0,12.5,0
2021-11-11-03,193,14,600,1.7,0,13.4,0
2021-11-11-04,193,14,600,0,0,13.2,0
2021-11-11-05,193,14,600,0.7,0,12.1,0
2021-11-11-06,193,14,600,0,0,13.8,0
2021-11-11-07,193,14,600,1.9,1,17.2,0
2021-11-11-08,256.6,14,600,1.4,1,19.8,0
2021-11-11-09,220.3,14,600,2.7,1,22.5,0
2021-11-11-10,80,14,595,2.2,1,24,0
2021-11-11-11,80,14,595,2.1,1,25.6,0
2021-11-11-12,87.7,14,595,2.9,1,26.2,0
2021-11-11-13,80,14,595,3.9,1,26,0
2021-11-11-14,92.7,14,600,5.2,1,25,0
2021-11-11-15,80,14,595,5.4,1,23.3,0
2021-11-11-16,80,14,600,4.2,0.5,22.2,0
2021-11-11-17,80,14,595,2.5,0,19.9,0
2021-11-11-18,80,14,595,1.6,0,19,0
2021-11-11-19,80,14,595,1,0,18.4,0
2021-11-11-20,80,14,595,1.5,0,17.6,0
2021-11-11-21,80,14,595,0.6,0,17.6,0
2021-11-11-22,80,14,600,1.2,0,17,0
2021-11-11-23,80,14,600,1.1,0,16.8,0
2021-11-12-00,105,14,550,0,0,16.3,0
2021-11-12-01,105,14,550,0.9,0,16.4,0
2021-11-12-02,105,14,550,2.7,0,17.1,0
2021-11-12-03,105.1,14,600,2.4,0,17.9,0
2021-11-12-04,281,14,600,2.8,0,19,0
2021-11-12-05,281,14,600,1.5,0,18.3,0
2021-11-12-06,281,14,600,1.8,0,18.2,0
2021-11-12-07,281,14,600,3.2,0.4,18,0
2021-11-12-08,80,14,595,1.9,1,19.9,0
2021-11-12-09,80,14,600,2.9,1,21.8,0
2021-11-12-10,92.6,14,600,2.3,1,23.7,0
2021-11-12-11,80,14,600,3.9,1,25.9,0
2021-11-12-12,80,14,595,4.1,1,23.9,0
2021-11-12-13,80,14,595,3.8,1,24,0
2021-11-12-14,80,14,600,3,1,23.4,0
2021-11-12-15,80,14,595,1.8,0.7,23,0
2021-11-12-16,80,14,595,2.3,0.2,21.7,0
2021-11-12-17,80,14,595,2,0,20.5,0
2021-11-12-18,80,14,595,1.3,0,20,0
2021-11-12-19,80,14,595,1.3,0,19.8,0
2021-11-12-20,80,14,595,0.6,0,19.6,0
2021-11-12-21,80,14,595,1.6,0,19.1,0
2021-11-12-22,80,14,600,0.6,0,19.1,0
2021-11-12-23,80,14,595,0,0,19.1,0
2021-11-13-00,122.6,14,600,0.7,0,18.6,0
2021-11-13-01,105,14,600,0,0,18.3,0
2021-11-13-02,105,14,550,1.7,0,18.7,0
2021-11-13-03,345.1,14,600,0.7,0,19,0
2021-11-13-04,105.1,14,600,0.9,0,17.8,0
2021-11-13-05,105.1,14,600,1,0,17.8,0
2021-11-13-06,193,14,600,1.8,0,17.2,0
2021-11-13-07,193.1,14,600,0.3,0.4,17.9,0
2021-11-13-08,193.1,14,600,0,0.2,18.2,0
2021-11-13-09,333.1,14,600,1.2,0.8,19,0
2021-11-13-10,193.1,14,600,1.1,1,21,0
2021-11-13-11,281.1,14,600,2.6,1,23.8,0
2021-11-13-12,281.1,14,600,4.4,1,23.5,0
2021-11-13-13,281.1,14,600,4.6,1,22.9,0
2021-11-13-14,105,14,595,4.3,1,22.6,0
2021-11-13-15,80,14,595,6.1,0.3,21.8,0
2021-11-13-16,80,14,600,5.2,0,20.8,0
2021-11-13-17,80,14,595,4.3,0,20,0
2021-11-13-18,80,14,595,5.1,0,19.2,0
2021-11-13-19,80,14,595,4.6,0,18.6,0
2021-11-13-20,80,14,595,3.7,0,17.9,0
2021-11-13-21,80,14,595,2.7,0,17.3,0
2021-11-13-22,80,14,600,2.7,0,17.3,0
2021-11-13-23,92.6,14,595,1.8,0,16.9,0
2021-11-14-00,92.6,14,550,2.2,0,17.4,0
2021-11-14-01,155.4,14,600,1.8,0,17.3,0
2021-11-14-02,105,14,550,0.9,0,17,0
2021-11-14-03,193.1,14,600,1.7,0,16.6,0
2021-11-14-04,193.1,14,600,2.6,0,17.4,0
2021-11-14-05,281,14,600,2.6,0,17.6,0
2021-11-14-06,281,14,600,3.3,0,18,0
2021-11-14-07,281,14,600,3.7,1,19.5,0
2021-11-14-08,281.1,14,600,4.4,1,20.8,0
2021-11-14-09,281.1,14,600,3.8,1,22.7,0
2021-11-14-10,281.1,14,600,3.5,1,23.8,0
2021-11-14-11,281.1,14,600,3.2,1,24.2,0
2021-11-14-12,281.1,14,600,4.2,1,25.2,0
2021-11-14-13,193.1,14,600,4.9,1,25.1,0
2021-11-14-14,193.1,14,600,5.7,1,24.4,0
2021-11-14-15,81,14,595,4.5,1,23.8,0
2021-11-14-16,80,14,595,4.3,0.4,21.7,0
2021-11-14-17,80,14,600,3.3,0,20.8,0
2021-11-14-18,80,14,600,2.3,0,19.6,0
2021-11-14-19,80,14,595,1.4,0,18.6,0
2021-11-14-20,80,14,595,1.6,0,18.4,0
2021-11-14-21,80,14,595,1.1,0,17.8,0
2021-11-14-22,80,14,595,1.5,0,17.3,0
2021-11-14-23,80,14,600,1.2,0,17.4,0
2021-11-15-00,281.1,14,600,1.4,0,18.1,0
2021-11-15-01,281.1,14,600,1.1,0,18.2,0
2021-11-15-02,281.1,14,600,1.5,0,18.5,0
2021-11-15-03,281.1,14,600,1.7,0,18.6,0
2021-11-15-04,281.1,14,600,1.6,0,18.5,0
2021-11-15-05,281.1,14,600,1.7,0,17.7,0
2021-11-15-06,521,14,600,1.4,0,18.6,0
2021-11-15-07,281,14,600,2.3,0.9,21.3,0
2021-11-15-08,80,14,595,1.8,0.9,23.4,0
2021-11-15-09,80,14,595,1.4,1,25.4,0
2021-11-15-10,80,14,595,2,1,26.2,0
2021-11-15-11,92.6,14,595,2.3,1,27,0
2021-11-15-12,122,14,600,1.4,1,27.6,0
2021-11-15-13,80,14,595,1.4,1,28.3,0
2021-11-15-14,80,14,600,0.9,1,27.5,0
2021-11-15-15,80,14,595,1.6,1,27,0
2021-11-15-16,80,14,595,1.4,0.4,25.4,0
2021-11-15-17,80,14,595,1.4,0,23.3,0
2021-11-15-18,80,14,595,0.4,0,22.3,0
2021-11-15-19,80,14,595,0,0,21.3,0
2021-11-15-20,80,14,595,0.6,0,20.8,0
2021-11-15-21,80,14,595,0.4,0,20.5,0
2021-11-15-22,80,14,600,0.5,0,19.8,0
2021-11-15-23,80,14,595,0.6,0,19.2,0
2021-11-16-00,105,14,550,0.3,0,19.1,0
2021-11-16-01,105,14,550,0.8,0,18.6,0
2021-11-16-02,105,14,550,0.4,0,18.3,0
2021-11-16-03,281,14,600,1,0,18.2,0
2021-11-16-04,281,14,600,0.3,0,18.1,0
2021-11-16-05,281,14,600,0,0,18,0
2021-11-16-06,281,14,600,0,0,18.4,0
2021-11-16-07,281,14,600,0.6,0.8,21.9,0
2021-11-16-08,219.4,14,600,0.5,1,24.8,0
2021-11-16-09,80,14,595,1.7,1,27.1,0
2021-11-16-10,80,14,595,1.3,1,28.4,0
2021-11-16-11,80,14,595,2.4,1,28.8,0
2021-11-16-12,108.9,14,600,3.9,1,27,0
2021-11-16-13,80,14,595,3.5,1,27.1,0
2021-11-16-14,80,14,595,2.8,1,27.6,0
2021-11-16-15,80,14,600,4.6,1,24.9,0
2021-11-16-16,80,14,595,5.4,0.3,23.6,0
2021-11-16-17,80,14,595,4.3,0,23.2,0
2021-11-16-18,80,14,595,3.6,0,22.8,0
2021-11-16-19,80,14,595,2.6,0,22.4,0
2021-11-16-20,80,14,595,2.1,0,22.3,0
2021-11-16-21,80,14,595,1.1,0,22.1,0
2021-11-16-22,92.6,14,600,1.7,0,21.2,0
2021-11-16-23,80,14,600,1.4,0,21.5,0
2021-11-17-00,281.1,14,600,1.1,0,21.1,0
2021-11-17-01,281.1,14,600,0.6,0,20.6,0
2021-11-17-02,281.1,14,600,0,0,19.8,0
2021-11-17-03,281,14,600,0.4,0,19.5,0
2021-11-17-04,281.1,14,600,0,0,19,0
2021-11-17-05,281,14,600,0.5,0,19,0
2021-11-17-06,281,14,600,1,0,19.3,0
2021-11-17-07,281,14,600,0.9,0.8,22.2,0
2021-11-17-08,281.1,14,600,1,1,24.2,0
2021-11-17-09,432.6,14,600,0.9,1,26.4,0
2021-11-17-10,419.4,14,600,1,1,27.8,0
2021-11-17-11,304.5,14,600,1.8,1,28.5,0
2021-11-17-12,281,14,600,1.5,1,28.4,0
2021-11-17-13,281.1,14,600,1.6,1,28.9,0
2021-11-17-14,179.1,14,595,2.7,1,26.5,0
2021-11-17-15,80,14,595,3.3,1,26.4,0
2021-11-17-16,80,14,600,3.1,0.2,24.6,0
2021-11-17-17,80,14,595,3.5,0,23.5,0
2021-11-17-18,80,14,595,1.8,0,23.2,0
2021-11-17-19,80,14,595,1.2,0,22.2,0
2021-11-17-20,80,14,600,2.2,0,22.3,0
2021-11-17-21,179.1,14,600,1.7,0,21.9,0
2021-11-17-22,281.1,14,600,2.4,0,21.9,0
2021-11-17-23,281.1,14,600,2.4,0,22.3,0
2021-11-18-00,281.1,14,600,2.3,0,22.1,0
2021-11-18-01,281.1,14,600,2.4,0,22,0
2021-11-18-02,281.1,14,600,2.9,0,22.1,0
2021-11-18-03,281,14,600,4.1,0,21.8,0
2021-11-18-04,281,14,600,3.7,0,21.5,0
2021-11-18-05,281,14,600,4.9,0,21.1,0
2021-11-18-06,281,14,600,4.9,0,20.8,0
2021-11-18-07,281,14,600,4.4,1,21.3,0
2021-11-18-08,193,14,595,4.6,1,22.2,0
2021-11-18-09,283.4,14,600,3.1,1,23.2,0
2021-11-18-10,116.6,14,595,2.3,1,25,0
2021-11-18-11,283.4,14,600,4.5,1,25.9,0
2021-11-18-12,105,14,595,5.6,1,24.7,0
2021-11-18-13,80,14,600,5.6,1,25,0
2021-11-18-14,108.6,14,595,5.1,1,25.2,0
2021-11-18-15,80,14,600,5.4,1,23,0
2021-11-18-16,80,14,595,5.1,0.3,22,0
2021-11-18-17,80,14,595,3.2,0,21.5,0
2021-11-18-18,80,14,595,2.3,0,21.4,0
2021-11-18-19,80,14,595,2.5,0,21.3,0
2021-11-18-20,80,14,595,1.5,0,21,0
2021-11-18-21,80,14,600,1.2,0,20.9,0
2021-11-18-22,80,14,600,3,0,20.5,0
2021-11-18-23,105,14,595,0.4,0,20,0
2021-11-19-00,245,14,600,1.4,0,19.7,0
2021-11-19-01,345,14,600,0.4,0,19.8,0
2021-11-19-02,193.1,14,600,1.1,0,19.6,0
2021-11-19-03,193,14,600,1.7,0,19.6,0
2021-11-19-04,193,14,600,0,0,19.2,0
2021-11-19-05,193,14,590,0,0,18.7,0
2021-11-19-06,80,14,590,1.3,0,19.7,0
2021-11-19-07,105,14,595,2.2,0.9,22.5,0
2021-11-19-08,105,14,595,2.3,1,24.7,0
2021-11-19-09,80,14,595,3.2,1,26,0
2021-11-19-10,80,14,595,6.3,1,26.2,0
2021-11-19-11,80,14,595,5.9,1,26.6,0
2021-11-19-12,80.1,14,595,5.4,1,26.9,0
2021-11-19-13,181,14,600,5.8,1,26.7,0
2021-11-19-14,80,14,595,6.3,1,26.6,0
2021-11-19-15,80,14,595,4.3,1,25.9,0
2021-11-19-16,80,14,595,3.8,0.3,24.5,0
2021-11-19-17,80,14,595,4.2,0,23.2,0
2021-11-19-18,80,14,595,3.6,0,22.6,0
2021-11-19-19,80,14,595,1.7,0,21.8,0
2021-11-19-20,80,14,595,1.2,0,21.1,0
2021-11-19-21,80,14,595,1.4,0,20.5,0
2021-11-19-22,80,14,595,0.6,0,19.9,0
2021-11-19-23,80,14,595,1.3,0,20,0
2021-11-20-00,173.5,14,550,0.5,0,20.1,0
2021-11-20-01,105,14,550,0.8,0,20.3,0
2021-11-20-02,281,14,600,0.4,0,19.6,0
2021-11-20-03,281,14,600,0,0,19.1,0
2021-11-20-04,281,14,600,1.4,0,18.9,0
2021-11-20-05,281,14,600,1.3,0,19.1,0
2021-11-20-06,521,14,600,1.5,0,20.2,0
2021-11-20-07,281,14,600,0.6,0.6,23.5,0
2021-11-20-08,281.1,14,600,0.7,1,25.4,0
2021-11-20-09,281.1,14,600,0.7,1,28,0
2021-11-20-10,105,14,595,2.3,1,28.2,0
2021-11-20-11,105,14,595,2.3,1,27.6,0
2021-11-20-12,105,14,595,2.7,1,27.8,0
2021-11-20-13,80,14,595,4.1,1,26.3,0
2021-11-20-14,92.6,14,595,3.6,1,25.9,0
2021-11-20-15,80,14,595,3.8,0.8,25.4,0
2021-11-20-16,80,14,600,4.5,0,24.3,0
2021-11-20-17,80,14,595,3.3,0,23.9,0
2021-11-20-18,80,14,595,3,0,23.6,0
2021-11-20-19,80,14,595,0.9,0,22.9,0
2021-11-20-20,80,14,595,1.8,0,22.4,0
2021-11-20-21,80,14,595,1.8,0,22.2,0
2021-11-20-22,80,14,600,0,0,21.4,0
2021-11-20-23,80,14,595,0.8,0,21.5,0
2021-11-21-00,80,14,550,0.6,0,21.4,0
2021-11-21-01,105,14,550,1.6,0,20.8,0
2021-11-21-02,105,14,550,1.1,0,20.6,0
2021-11-21-03,105,14,550,0.7,0,20.1,0
2021-11-21-04,105,14,550,0,0,19.9,0
2021-11-21-05,105,14,590,0,0,20.3,0
2021-11-21-06,105,14,590,0.6,0,20.3,0
2021-11-21-07,105,14,595,0.5,0.8,22.7,0
2021-11-21-08,345,14,600,0.5,1,25.4,0
2021-11-21-09,345,14,600,1.1,1,27.5,0
2021-11-21-10,105,14,595,2.7,1,27.5,0
2021-11-21-11,333,14,600,3.4,1,28.1,0
2021-11-21-12,193,14,600,3.3,1,28,0
2021-11-21-13,193.1,14,600,2.8,1,28.6,0
2021-11-21-14,105,14,595,2.6,1,28.1,0
2021-11-21-15,105,14,595,3.2,1,26.3,0
2021-11-21-16,92.6,14,595,2.5,0.4,24.2,0
2021-11-21-17,80,14,600,3.1,0,23.3,0
2021-11-21-18,80,14,600,1.6,0,22.5,0
2021-11-21-19,80,14,600,2.3,0,22.3,0
2021-11-21-20,80,14,600,1.1,0,22,0
2021-11-21-21,80,14,600,0.4,0,21.5,0
2021-11-21-22,92.6,14,595,0,0,21.1,0
2021-11-21-23,80,14,595,0,0,20.9,0
2021-11-22-00,105,14,550,0.7,0,20.2,0
2021-11-22-01,421.1,14,600,0,0,20.1,0
2021-11-22-02,281.1,14,600,0.3,0,20.2,0
2021-11-22-03,281,14,600,0,0,20.2,0
2021-11-22-04,281,14,600,0,0,19.7,0
2021-11-22-05,281,14,600,1.3,0,19.4,0
2021-11-22-06,281,14,590,0.4,0,20,0
2021-11-22-07,281,14,600,0.9,0.8,22.9,0
2021-11-22-08,105,14,595,3.4,1,24.3,0
2021-11-22-09,243.4,14,600,6.5,1,23.4,0
2021-11-22-10,105,14,595,7.1,1,23,0
